?gtsid,gtsterm,rankid,rankname,myaStart,myaEnd,errorRange,colorCode,sortSequence,parentgtsid,initialtimestamp
1,Precambrian,10,supereon,,,,#F74370,194,,2021-06-19 21:41:22
2,Archean,20,eon,,,,#F0047F,192,1,2021-06-19 21:41:22
3,Hadean,20,eon,,,,#AE027E,193,1,2021-06-19 21:41:22
4,Phanerozoic,20,eon,,,,#9AD9DD,169,1,2021-06-19 21:41:22
5,Proterozoic,20,eon,,,,#F73563,183,1,2021-06-19 21:41:22
9,Eoarchean,30,era,,,,#DA037F,191,2,2021-06-19 21:41:22
10,Paleoarchean,30,era,,,,#F4449F,189,2,2021-06-19 21:41:22
11,Mesoarchean,30,era,,,,#F768A9,187,2,2021-06-19 21:41:22
12,Neoarchean,30,era,,,,#F99BC1,185,2,2021-06-19 21:41:22
13,Paleozoic,30,era,,,,#99C08D,168,4,2021-06-19 21:41:22
14,Mesozoic,30,era,,,,#67C5CA,88,4,2021-06-19 21:41:22
15,Cenozoic,30,era,,,,#F2F91D,46,4,2021-06-19 21:41:22
16,Paleoproterozoic,30,era,,,,#F74370,182,5,2021-06-19 21:41:22
17,Mesoproterozoic,30,era,,,,#FDB462,177,5,2021-06-19 21:41:22
18,Neoproterozoic,30,era,,,,#FEB342,173,5,2021-06-19 21:41:22
24,Cambrian,40,period,,,,#7FA056,167,13,2021-06-19 21:41:22
25,Ordovician,40,period,,,,#009270,152,13,2021-06-19 21:41:22
26,Silurian,40,period,,,,#B3E1B6,141,13,2021-06-19 21:41:22
27,Devonian,40,period,,,,#CB8C37,128,13,2021-06-19 21:41:22
28,Carboniferous,40,period,,,,#67A599,117,13,2021-06-19 21:41:22
29,Permian,40,period,,,,#F04028,101,13,2021-06-19 21:41:22
30,Triassic,40,period,,,,#812B92,87,14,2021-06-19 21:41:22
31,Jurassic,40,period,,,,#34B2C9,76,14,2021-06-19 21:41:22
32,Cretaceous,40,period,,,,#7FC64E,61,14,2021-06-19 21:41:22
33,Paleogene,40,period,,,,#FD9A52,45,15,2021-06-19 21:41:22
34,Neogene,40,period,,,,#FFE619,32,15,2021-06-19 21:41:22
35,Quaternary,40,period,,,,#F9F97F,16,15,2021-06-19 21:41:22
36,Siderian,40,period,,,,#F74F7C,181,16,2021-06-19 21:41:22
37,Rhyacian,40,period,,,,#F75B89,180,16,2021-06-19 21:41:22
38,Orosirian,40,period,,,,#F76898,179,16,2021-06-19 21:41:22
39,Statherian,40,period,,,,#F875A7,178,16,2021-06-19 21:41:22
40,Calymmian,40,period,,,,#FDC07A,176,17,2021-06-19 21:41:22
41,Ectasian,40,period,,,,#FDCC8A,175,17,2021-06-19 21:41:22
42,Stenian,40,period,,,,#FED99A,174,17,2021-06-19 21:41:22
43,Tonian,40,period,,,,#FEBF4E,172,18,2021-06-19 21:41:22
44,Gryogenian,40,period,,,,,,18,2021-06-19 21:41:22
45,Ediacaran,40,period,,,,#FED96A,170,18,2021-06-19 21:41:22
55,Lower Cambrian,50,epoch,,,,,,24,2021-06-19 21:41:22
56,Middle Cambrian,50,epoch,,,,,,24,2021-06-19 21:41:22
57,Upper Cambrian,50,epoch,,,,,,24,2021-06-19 21:41:22
58,Lower Ordovician,50,epoch,,,,#1A9D6F,151,25,2021-06-19 21:41:22
59,Middle Ordovician,50,epoch,,,,#4DB47E,148,25,2021-06-19 21:41:22
